City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
213,faanui,-16.48,-151.75,80.46,80,50,21.18,PF,1593729512
214,georgetown,5.41,100.34,82.4,94,20,1.83,MY,1593729298
215,bam,29.11,58.36,86.81,14,0,9.06,IR,1593729512
216,kumhari,21.27,81.52,82.4,88,40,3.36,IN,1593729512
217,tautira,-17.73,-149.15,84.2,66,20,18.34,PF,1593729512
218,dingle,11.0,122.67,80.4,78,61,2.28,PH,1593729512
219,coquimbo,-29.95,-71.34,57.2,87,0,10.29,CL,1593729513
220,lagoa,39.05,-27.98,67.01,80,0,7.0,PT,1593729513
221,pelotas,-31.77,-52.34,50.0,71,90,5.82,BR,1593729373
222,ajdabiya,30.76,20.23,72.91,71,0,7.7,LY,1593729513
223,saldanha,-33.01,17.94,51.8,87,15,3.36,ZA,1593729513
224,daru,-9.08,143.21,78.33,79,99,19.39,PG,1593729513
225,khash,28.22,61.22,71.74,23,0,2.73,IR,1593729513
226,havelock,34.88,-76.9,87.8,45,1,4.7,US,1593729246
227,verkh-chebula,56.03,87.62,64.36,95,21,7.67,RU,1593729513
228,paramonga,-10.67,-77.83,61.86,82,70,7.63,PE,1593729513
229,yeniseysk,58.45,92.17,69.76,72,2,4.97,RU,1593729513
230,leningradskiy,69.38,178.42,42.13,83,99,10.47,RU,1593729513
231,nanakuli,21.39,-158.15,84.2,54,90,5.82,US,1593729277
232,saint-philippe,-21.36,55.77,68.0,72,86,5.82,RE,1593729513
233,torbay,47.67,-52.73,54.0,100,90,9.17,CA,1593729314
234,fortuna,40.6,-124.16,64.99,67,1,10.29,US,1593729513
235,umea,63.83,20.26,52.0,76,90,9.17,SE,1593729513
236,alugan,12.22,125.48,82.99,74,16,2.08,PH,1593729514
237,baruun-urt,46.68,113.28,63.01,77,83,6.91,MN,1593729514
238,plerin,48.54,-2.78,55.99,87,40,6.93,FR,1593729514
239,kysyl-syr,63.9,122.76,64.02,52,64,11.54,RU,1593729514
240,asaba,6.2,6.73,74.89,94,100,5.77,NG,1593729514
241,banda aceh,5.56,95.32,79.05,81,64,8.55,ID,1593729514
242,aykhal,66.0,111.5,50.0,76,90,8.95,RU,1593729514
243,natal,-5.79,-35.21,77.0,94,40,5.82,BR,1593729389
244,stephenville,32.22,-98.2,77.0,78,75,8.05,US,1593729329
245,mount gambier,-37.83,140.77,48.2,93,90,10.29,AU,1593729514
246,pailon,-17.65,-62.75,66.2,59,90,4.7,BO,1593729514
247,acapulco,16.86,-99.89,87.8,70,40,6.93,MX,1593729431
248,cayenne,4.93,-52.33,82.4,78,30,3.36,GF,1593729514
249,kalianget,-7.05,113.93,78.57,78,92,6.96,ID,1593729514
250,tsuchiura,36.09,140.21,84.99,69,75,3.36,JP,1593729514
251,ituverava,-20.34,-47.78,60.3,64,12,2.91,BR,1593729514
252,port keats,-14.25,129.55,70.32,67,0,9.15,AU,1593729514
253,sohbatpur,28.52,68.54,96.08,41,3,12.03,PK,1593729515
254,thinadhoo,0.53,72.93,84.13,65,94,2.93,MV,1593729515
255,longyearbyen,78.22,15.64,42.8,70,75,18.34,SJ,1593729257
256,progreso,21.28,-89.67,91.0,66,40,4.7,MX,1593729515
257,te anau,-45.42,167.72,41.16,76,55,1.66,NZ,1593729515
258,komsomolskiy,40.43,71.72,66.2,48,0,6.93,UZ,1593729515
259,tura,25.52,90.22,74.98,98,100,5.37,IN,1593729515
260,clarence town,-32.58,151.78,57.99,87,75,4.7,AU,1593729515
261,sillamae,59.4,27.75,61.03,86,58,13.24,EE,1593729515
262,havre-saint-pierre,50.23,-63.6,60.8,72,75,5.82,CA,1593729515
263,moron,-34.65,-58.62,50.0,85,23,3.0,AR,1593729515
264,hirata,35.43,132.82,69.8,88,75,13.87,JP,1593729515
265,portland,45.52,-122.68,73.0,45,75,4.41,US,1593729001
266,san blas,21.52,-105.27,86.0,51,75,3.36,MX,1593729515
267,srandakan,-7.94,110.25,75.16,89,69,7.63,ID,1593729515
268,ejido,8.55,-71.24,68.85,66,100,1.45,VE,1593729515
269,oksfjord,70.24,22.35,44.6,93,90,9.17,NO,1593729515
270,sharanga,57.18,46.54,57.78,91,100,3.94,RU,1593729515
271,riyadh,24.69,46.72,91.4,24,0,3.36,SA,1593729516
272,itaituba,-4.28,-55.98,89.6,55,20,5.82,BR,1593729516
273,paamiut,61.99,-49.67,43.52,74,100,16.75,GL,1593729516
274,koshurnikovo,54.17,93.3,64.09,100,61,3.89,RU,1593729516
275,manuk mangkaw,4.8,119.85,84.2,69,97,4.81,PH,1593729516
276,chifeng,42.27,118.96,71.17,66,100,1.32,CN,1593729516
277,porto novo,6.5,2.6,78.8,88,40,14.99,BJ,1593729516
278,kargasok,59.06,80.86,60.76,98,100,8.57,RU,1593729516
279,saint-joseph,-21.37,55.62,62.6,72,46,5.82,RE,1593729516
280,el retorno,2.33,-72.63,75.27,94,83,3.49,CO,1593729516
281,tezu,27.92,96.17,76.66,85,100,0.94,IN,1593729516
282,batemans bay,-35.72,150.18,48.99,66,3,7.81,AU,1593729516
283,pendleton,45.67,-118.79,80.01,22,1,11.41,US,1593729516
284,kyabe,9.45,18.94,75.51,83,40,5.19,TD,1593729516
285,panama city,8.99,-79.52,82.4,78,75,8.05,PA,1593729442
286,camacari,-12.7,-38.32,78.8,83,20,8.05,BR,1593729517
287,santarem,-2.44,-54.71,84.2,79,20,6.93,BR,1593729431
288,road town,18.42,-64.62,86.0,74,40,10.29,VG,1593729517
289,kirakira,-10.45,161.92,80.15,82,100,13.13,SB,1593729517
290,mouila,-1.87,11.06,72.37,81,90,1.99,GA,1593729517
291,mulege,26.88,-111.98,91.76,42,22,9.13,MX,1593729517
292,valenca,-13.37,-39.07,71.19,92,20,2.42,BR,1593729517
293,norman wells,65.28,-126.83,51.8,87,90,13.87,CA,1593729517
294,carnarvon,-24.87,113.63,57.2,67,0,8.05,AU,1593729517
295,kahului,20.89,-156.47,87.8,55,40,24.16,US,1593729517
296,lusambo,-4.97,23.45,71.58,66,44,0.58,CD,1593729517
297,lata,40.16,-8.33,61.0,77,0,1.99,PT,1593729517
298,sarangani,5.4,125.46,81.81,77,27,3.53,PH,1593729517
299,nanortalik,60.14,-45.24,42.84,77,100,6.49,GL,1593729517
300,haines junction,60.75,-137.51,73.85,20,0,4.63,CA,1593729517
301,rio grande,-32.03,-52.1,50.0,71,90,5.82,BR,1593729304
302,limon,10.0,-83.03,84.2,79,75,11.41,CR,1593729517
303,partyzany,46.33,34.75,73.17,65,0,7.87,UA,1593729517
304,nome,64.5,-165.41,48.99,93,90,8.05,US,1593729517
305,yumen,40.28,97.2,72.66,21,99,4.65,CN,1593729517
306,calvinia,-31.47,19.78,45.55,58,54,1.86,ZA,1593729518
307,lloydminster,53.28,-110.0,69.8,43,75,17.22,CA,1593729518
308,batticaloa,7.71,81.69,81.05,76,100,2.55,LK,1593729518
309,along,28.17,94.77,74.62,90,96,0.6,IN,1593729518
310,college,64.86,-147.8,63.0,62,75,2.84,US,1593729518
311,dudinka,69.41,86.18,57.2,62,20,8.95,RU,1593729518
312,avera,33.19,-82.53,91.4,52,40,4.7,US,1593729518
313,colac,-38.33,143.58,42.01,99,97,3.0,AU,1593729518
314,bairiki,1.33,172.98,84.2,74,20,6.93,KI,1593729518
315,ingham,42.6,-84.38,88.0,35,1,6.93,US,1593729518
316,monte azul,-15.15,-42.87,75.85,44,75,3.22,BR,1593729518
317,ormara,25.21,64.64,85.77,77,26,5.44,PK,1593729518
318,resistencia,-27.46,-58.98,52.0,76,2,1.12,AR,1593729518
319,lisala,2.15,21.52,72.01,85,46,0.56,CD,1593729519
320,bend,44.06,-121.32,77.0,16,1,10.29,US,1593729238
321,alta floresta,-9.88,-56.09,76.39,59,99,2.93,BR,1593729519
322,bereda,43.27,-7.54,53.01,92,29,1.01,ES,1593729519
323,jawhar,2.78,45.5,74.71,80,79,13.31,SO,1593729519
324,araucaria,-25.59,-49.41,50.0,82,49,2.44,BR,1593729510
325,kaitangata,-46.28,169.85,35.01,82,3,4.0,NZ,1593729519
326,zhigansk,66.77,123.37,56.07,73,91,17.05,RU,1593729519
327,nova odesa,47.31,31.79,71.06,58,0,7.2,UA,1593729519
328,emerald,-23.53,148.17,57.99,100,1,5.39,AU,1593729519
329,andenes,69.31,16.12,46.4,81,81,13.87,NO,1593729519
330,yarmouth,41.71,-70.23,77.0,72,0,9.86,US,1593729519
331,templin,53.12,13.5,64.0,71,89,6.24,DE,1593729519
332,vila velha,-20.33,-40.29,71.6,78,75,6.93,BR,1593729272
333,iqaluit,63.75,-68.51,51.8,76,75,5.82,CA,1593729519
334,port moresby,-9.44,147.18,78.8,78,75,23.04,PG,1593729519
335,rorvik,64.86,11.24,50.79,54,54,1.86,NO,1593729519
336,engels,51.5,46.12,73.0,51,54,1.01,RU,1593729519
337,saint-leu,-21.15,55.28,68.0,72,44,5.82,RE,1593729519
338,charleston,32.78,-79.93,82.99,74,40,6.93,US,1593729447
339,upington,-28.45,21.26,44.6,45,0,3.36,ZA,1593729520
340,vao,-22.67,167.48,68.92,57,41,14.54,NC,1593729520
341,taganak,6.08,118.3,78.8,88,20,8.1,PH,1593729520
342,port blair,11.67,92.75,82.98,79,100,15.48,IN,1593729520
343,angoram,-4.06,144.07,79.14,81,31,2.68,PG,1593729520
344,lara,-38.02,144.4,45.0,87,75,6.93,AU,1593729520
345,oistins,13.07,-59.53,82.4,78,40,19.46,BB,1593729520
346,nuevo progreso,23.17,-97.95,89.01,57,95,3.0,MX,1593729520
347,concarneau,47.88,-3.92,57.2,93,20,4.7,FR,1593729520
348,sao raimundo das mangabeiras,-7.02,-45.48,79.92,43,12,4.41,BR,1593729370
349,marrakesh,31.63,-8.01,84.2,39,40,5.82,MA,1593729520
350,vilyuysk,63.76,121.62,64.06,50,84,13.06,RU,1593729520
351,turtas,58.94,69.13,49.06,91,2,4.94,RU,1593729520
352,walvis bay,-22.96,14.51,73.4,17,0,17.22,NA,1593729520
353,les cayes,18.2,-73.75,82.94,74,46,8.3,HT,1593729520
354,lakota,5.85,-5.69,70.36,98,69,3.4,CI,1593729520
355,dhidhdhoo,6.88,73.1,83.25,78,100,11.83,MV,1593729520
356,tam ky,15.57,108.48,78.8,88,75,3.36,VN,1593729520
357,shelburne,44.08,-80.2,87.8,40,1,8.05,CA,1593729521
